aX,aY,aZ,gX,gY,gZ
-0.055,0.682,-0.082,10.071,-6.409,-36.316
-0.104,0.689,-0.156,10.620,0.427,-29.907
-0.160,0.744,-0.177,10.071,-0.916,-26.428
-0.149,0.797,-0.184,10.254,-6.775,-23.315
-0.079,0.817,-0.138,8.240,-11.963,-20.996
-0.037,0.838,-0.114,6.958,-11.475,-20.386
-0.039,0.835,-0.107,7.507,-7.568,-24.170
-0.035,0.883,-0.096,9.827,-6.592,-31.067
-0.080,0.891,-0.105,11.963,-7.385,-36.438
-0.148,0.856,-0.130,14.099,-7.446,-42.847
-0.219,0.822,-0.144,15.625,-10.620,-50.720
-0.234,0.831,-0.141,17.700,-15.320,-52.734
-0.203,0.876,-0.139,17.517,-15.503,-44.861
-0.142,0.932,-0.132,14.526,-11.230,-30.945
-0.048,0.994,-0.120,11.047,-4.456,-16.541
0.068,1.063,-0.110,8.606,2.014,-6.653
0.159,1.129,-0.105,6.958,6.470,-4.211
0.125,1.154,-0.139,6.348,9.399,-10.376
0.039,1.146,-0.201,9.583,11.169,-26.428
-0.059,1.168,-0.259,11.108,9.644,-41.260
-0.144,1.166,-0.315,11.108,5.066,-46.936
-0.150,1.137,-0.347,8.423,-0.916,-45.410
-0.118,1.107,-0.336,1.160,-4.639,-39.490
-0.093,1.088,-0.296,-9.766,-4.272,-31.372
-0.045,1.068,-0.243,-19.043,-2.808,-23.987
0.042,1.073,-0.182,-27.100,-1.404,-18.066
0.140,1.106,-0.115,-32.166,0.366,-13.550
0.187,1.125,-0.082,-32.410,2.869,-12.146
0.148,1.076,-0.107,-25.757,6.409,-21.423
0.094,1.040,-0.131,-16.968,6.836,-39.490
0.010,1.010,-0.140,-9.521,4.456,-55.298
-0.030,0.928,-0.153,-0.244,2.380,-65.430
-0.006,0.872,-0.183,4.456,1.831,-67.993
0.025,0.851,-0.160,0.671,3.906,-61.401
0.063,0.875,-0.096,-5.554,8.423,-50.537
0.111,0.933,-0.029,-11.414,14.221,-38.330
0.162,0.992,-0.012,-12.451,20.447,-25.940
0.215,1.068,-0.036,-11.414,27.344,-15.686
0.177,1.095,-0.102,-8.972,36.865,-11.414
0.102,0.993,-0.214,-2.563,45.593,-19.836
0.050,0.906,-0.289,2.563,43.762,-37.170
0.014,0.872,-0.293,2.136,29.968,-51.819
-0.025,0.887,-0.242,-1.709,13.733,-58.899
-0.027,0.913,-0.192,-5.432,4.700,-56.580
0.017,0.928,-0.164,-8.118,5.493,-45.166
0.085,0.969,-0.135,-12.207,11.658,-29.236
0.136,1.029,-0.094,-17.700,19.226,-14.221
0.200,1.074,-0.076,-20.447,25.940,-5.188
0.251,1.081,-0.103,-20.691,31.006,-3.784
0.264,1.051,-0.158,-19.897,33.630,-10.437
0.229,1.001,-0.219,-18.921,33.875,-24.353
0.175,0.955,-0.256,-18.616,31.006,-39.551
0.102,0.936,-0.250,-20.203,24.658,-52.673
0.061,0.934,-0.220,-21.301,17.883,-59.448
0.015,0.920,-0.219,-23.193,16.602,-56.091
0.043,0.947,-0.195,-24.353,19.043,-46.936
0.055,0.965,-0.164,-25.757,22.583,-29.541
0.088,0.964,-0.177,-27.161,28.687,-14.526
0.144,0.972,-0.187,-27.710,35.889,-4.272
0.185,0.977,-0.180,-27.161,38.757,2.502
0.208,0.975,-0.188,-26.062,40.222,3.845
0.226,0.987,-0.196,-24.170,41.443,-0.366
0.217,1.001,-0.198,-21.790,40.833,-6.653
0.197,1.020,-0.205,-20.203,38.330,-14.221
0.193,1.020,-0.230,-18.677,36.194,-21.973
0.182,1.015,-0.259,-17.639,34.729,-28.870
0.167,1.002,-0.283,-19.714,35.217,-34.546
0.147,0.961,-0.316,-22.095,36.255,-38.635
0.128,0.915,-0.325,-24.048,36.133,-41.687
0.114,0.900,-0.305,-28.198,35.400,-43.518
0.098,0.890,-0.278,-32.104,34.058,-44.495
0.081,0.868,-0.263,-31.738,31.494,-44.250
0.085,0.862,-0.264,-29.663,31.677,-41.931
0.096,0.869,-0.282,-27.161,33.203,-38.879
0.104,0.866,-0.305,-24.292,35.156,-37.109
-0.398,-0.260,-2.201,212.952,-42.847,137.329
-0.618,-0.261,-2.251,222.473,-48.157,126.526
-0.817,-0.216,-2.282,239.746,-56.030,111.572
-1.000,-0.104,-2.261,249.390,-80.688,101.868
-1.168,0.021,-2.153,245.789,-126.465,104.370
-1.253,0.166,-1.972,228.699,-182.861,119.751
-1.331,0.334,-1.767,196.472,-233.704,146.057
-1.428,0.461,-1.534,162.781,-263.489,174.988
-1.633,0.694,-1.128,111.633,-273.926,203.308
-1.738,0.925,-0.665,35.950,-270.935,230.103
-1.668,1.325,0.185,-79.163,-266.296,260.681
-1.696,1.600,1.225,-170.166,-237.488,290.161
-2.050,1.564,2.464,-211.914,-210.388,280.457
-3.043,1.572,3.702,-198.792,-246.033,218.079
-3.318,1.646,4.000,-86.975,-319.275,139.648
-2.630,2.112,3.923,92.651,-371.460,133.606
-1.782,2.550,3.280,216.187,-376.099,205.994
-1.497,3.306,2.965,217.957,-332.092,285.034
-0.817,3.977,2.649,146.118,-252.014,359.863
0.167,3.882,1.927,87.646,-135.315,392.395
1.214,3.116,1.113,102.844,-58.411,339.294
1.971,2.315,0.614,119.934,-91.064,249.695
2.354,1.603,0.504,124.023,-197.327,126.648
2.178,1.129,0.511,102.600,-258.667,9.766
1.716,0.865,0.618,41.931,-219.788,-61.768
1.024,0.697,0.717,-28.625,-104.431,-77.576
0.359,0.534,0.723,-73.975,15.076,-67.627
-0.150,0.401,0.562,-66.223,83.130,-57.800
-0.418,0.356,0.246,-20.874,93.445,-57.129
-0.617,0.358,-0.140,35.706,76.782,-60.791
-0.744,0.471,-0.449,76.172,52.490,-61.157
-0.798,0.656,-0.646,84.595,34.241,-55.054
-0.814,0.749,-0.740,70.740,23.560,-46.814
-0.782,0.787,-0.738,47.485,12.085,-38.757
-0.647,0.781,-0.670,23.437,-1.343,-32.654
-0.484,0.770,-0.537,2.319,-15.625,-29.541
-0.324,0.756,-0.388,-12.329,-26.611,-29.114
-0.185,0.761,-0.279,-21.606,-32.288,-30.457
-0.143,0.763,-0.184,-24.780,-32.959,-34.241
-0.150,0.744,-0.121,-21.057,-29.114,-41.870
-0.151,0.732,-0.079,-17.029,-26.062,-52.246
-0.160,0.734,-0.041,-13.733,-26.672,-59.082
