Red,Green,Blue
0.376,0.299,0.325
0.374,0.298,0.328
0.375,0.295,0.330
0.376,0.298,0.327
0.374,0.294,0.332
0.374,0.292,0.333
0.372,0.292,0.336
0.372,0.291,0.338
0.370,0.290,0.340
0.368,0.289,0.343
0.367,0.290,0.343
0.364,0.287,0.348
0.360,0.287,0.352
0.363,0.286,0.351
0.361,0.285,0.353
0.359,0.287,0.355
0.358,0.284,0.358
0.358,0.283,0.358
0.355,0.283,0.362
0.353,0.282,0.365
0.350,0.282,0.368
0.346,0.283,0.371
0.341,0.283,0.376
0.338,0.285,0.377
0.337,0.284,0.379
0.336,0.286,0.378
0.333,0.289,0.378
0.333,0.290,0.377
0.333,0.290,0.377
0.333,0.292,0.375
0.334,0.291,0.374
0.334,0.292,0.373
0.336,0.292,0.372
0.337,0.293,0.370
0.339,0.293,0.368
0.341,0.293,0.366
0.345,0.294,0.361
0.349,0.294,0.357
0.352,0.293,0.355
0.356,0.294,0.351
0.359,0.294,0.347
0.359,0.295,0.347
0.360,0.296,0.345
0.360,0.294,0.346
0.359,0.295,0.347
0.358,0.293,0.348
0.356,0.293,0.351
0.355,0.293,0.352
0.354,0.292,0.354
0.352,0.293,0.355
0.354,0.292,0.354
0.354,0.292,0.354
0.356,0.293,0.351
0.357,0.292,0.350
0.360,0.292,0.347
0.358,0.292,0.350
0.358,0.291,0.351
0.358,0.289,0.353
0.359,0.288,0.353
0.359,0.288,0.353
0.359,0.287,0.354
0.362,0.285,0.353
0.365,0.286,0.350
0.367,0.284,0.349
0.370,0.286,0.345
0.374,0.283,0.343
0.376,0.283,0.341
0.380,0.282,0.338
0.382,0.283,0.336
0.387,0.281,0.332
0.388,0.281,0.331
0.392,0.281,0.327
0.394,0.280,0.326
0.397,0.280,0.323
0.401,0.278,0.320
0.405,0.276,0.319
0.407,0.276,0.316
0.412,0.273,0.315
0.414,0.274,0.312
0.413,0.274,0.313
0.414,0.273,0.312
0.413,0.274,0.313
0.414,0.273,0.313
0.419,0.272,0.309
0.417,0.273,0.310
0.418,0.274,0.308
0.419,0.271,0.309
0.419,0.274,0.308
0.421,0.270,0.309
0.419,0.274,0.308
0.421,0.272,0.306
0.421,0.272,0.306
0.422,0.272,0.306
0.420,0.273,0.307
0.422,0.274,0.304
0.419,0.275,0.306
0.422,0.274,0.305
0.421,0.273,0.306
0.422,0.275,0.303
