aX,aY,aZ,gX,gY,gZ
-0.175,1.182,-1.221,162.781,42.297,4.944
-0.150,1.212,-1.164,150.269,42.908,8.484
-0.116,1.208,-1.120,138.245,52.734,12.085
-0.130,1.206,-1.120,130.249,64.941,11.902
-0.188,1.189,-1.134,127.502,68.970,6.653
-0.277,1.149,-1.135,128.052,60.608,-0.854
-0.338,1.103,-1.114,129.578,43.030,-7.568
-0.390,1.077,-1.064,131.042,22.949,-12.329
-0.370,1.031,-0.989,130.371,6.531,-12.939
-0.341,1.013,-0.931,127.258,-2.014,-9.277
-0.356,1.061,-0.898,124.207,-1.343,-3.784
-0.326,1.121,-0.970,122.681,10.559,3.784
-0.312,1.184,-1.068,122.253,26.184,12.817
-0.270,1.273,-1.170,119.812,36.133,18.555
-0.204,1.337,-1.226,116.943,33.997,15.015
-0.150,1.358,-1.227,114.258,14.526,2.319
-0.159,1.343,-1.161,114.319,-17.212,-11.902
-0.208,1.294,-1.121,120.361,-45.410,-23.132
-0.214,1.201,-1.116,122.681,-50.537,-25.208
-0.216,1.141,-1.157,117.676,-29.175,-14.648
-0.240,1.160,-1.226,103.394,9.583,1.099
-0.196,1.202,-1.311,95.520,53.833,19.531
-0.136,1.292,-1.389,93.323,69.397,33.997
-0.110,1.350,-1.507,87.341,60.120,30.212
-0.082,1.387,-1.588,83.557,32.959,13.367
-0.057,1.406,-1.661,79.529,3.967,-2.197
-0.059,1.406,-1.712,70.435,-15.442,-12.268
-0.065,1.402,-1.716,57.190,-17.761,-13.672
-0.047,1.382,-1.693,41.687,-5.615,-7.568
-0.029,1.393,-1.650,26.184,11.536,-1.343
0.001,1.386,-1.641,17.090,23.621,2.258
-0.006,1.389,-1.655,13.245,23.315,2.991
-0.077,1.403,-1.675,11.292,15.869,0.427
-0.106,1.396,-1.713,7.385,9.888,-3.967
-0.135,1.401,-1.715,0.061,5.554,-5.920
-0.151,1.413,-1.668,-10.071,1.892,-6.653
-0.158,1.395,-1.605,-19.775,-0.183,-8.118
-0.159,1.352,-1.535,-28.381,-1.465,-10.681
-0.142,1.306,-1.464,-36.377,-2.563,-12.207
-0.134,1.288,-1.407,-45.715,-3.845,-12.390
-0.149,1.267,-1.359,-53.101,-5.249,-14.038
-0.180,1.252,-1.351,-56.763,-6.470,-15.686
-0.211,1.280,-1.374,-59.082,-7.263,-14.404
-0.236,1.306,-1.410,-61.462,-7.751,-10.376
-0.245,1.317,-1.433,-64.697,-6.348,-6.592
-0.246,1.336,-1.450,-70.923,-2.441,-4.211
-0.267,1.330,-1.466,-78.857,3.418,-1.831
-0.265,1.325,-1.457,-87.646,7.751,-0.610
-0.246,1.352,-1.427,-96.252,8.301,-0.732
-0.245,1.367,-1.388,-102.295,4.211,-2.808
-0.248,1.342,-1.337,-104.492,-3.235,-6.348
-0.241,1.312,-1.316,-105.164,-10.437,-8.789
-0.261,1.291,-1.295,-105.347,-14.893,-10.010
-0.265,1.273,-1.274,-107.605,-16.663,-9.949
-0.297,1.257,-1.268,-111.023,-15.564,-8.545
-0.332,1.250,-1.267,-115.601,-13.672,-7.202
-0.335,1.245,-1.247,-122.192,-11.963,-5.188
-0.310,1.248,-1.207,-129.150,-11.230,-1.770
-0.288,1.247,-1.143,-135.620,-12.268,0.671
-0.263,1.244,-1.097,-140.076,-12.939,1.587
-0.252,1.218,-1.065,-141.296,-11.536,2.136
-0.236,1.181,-1.053,-139.954,-10.071,3.113
-0.213,1.180,-1.041,-140.259,-10.803,4.395
-0.213,1.190,-1.014,-141.357,-14.404,5.371
-0.216,1.177,-0.978,-143.188,-21.057,3.601
-0.218,1.143,-0.895,-149.170,-31.250,-0.732
-0.217,1.088,-0.774,-155.762,-42.542,-5.310
-0.201,1.036,-0.652,-159.607,-50.598,-8.179
-0.186,0.997,-0.556,-160.645,-53.467,-9.705
-0.162,0.945,-0.482,-161.133,-51.392,-9.277
-0.129,0.896,-0.412,-162.476,-46.448,-7.507
-0.090,0.872,-0.364,-164.001,-39.734,-5.188
-0.085,0.820,-0.342,-163.025,-33.875,-5.005
-0.056,0.756,-0.349,-160.217,-32.654,-7.324
-0.073,0.677,-0.345,-157.166,-37.415,-10.986
-0.079,0.631,-0.290,-157.532,-46.692,-13.733
-0.064,0.590,-0.203,-161.377,-51.636,-13.733
-0.059,0.478,-0.124,-164.734,-45.410,-11.841
-0.025,0.364,-0.076,-167.664,-28.320,-10.132
-0.073,0.285,-0.093,-168.030,-5.676,-8.057
-0.099,0.237,-0.120,-161.560,8.179,-5.798
-0.088,0.195,-0.172,-150.391,5.371,-1.892
