aX,aY,aZ,gX,gY,gZ
1.514,0.251,0.216,-124.756,-125.366,-90.088
1.436,0.202,0.297,-139.160,-120.667,-97.656
1.396,0.148,0.421,-159.302,-111.267,-106.140
1.402,0.132,0.519,-168.884,-100.891,-114.380
1.450,0.113,0.604,-168.701,-89.294,-119.324
1.516,0.075,0.650,-160.706,-77.698,-124.084
1.513,0.051,0.651,-146.667,-67.505,-129.700
1.463,0.039,0.637,-134.277,-59.082,-135.742
1.396,0.008,0.627,-124.939,-53.223,-140.625
1.384,0.032,0.639,-116.333,-49.683,-139.954
1.355,0.039,0.607,-104.736,-46.143,-135.498
1.321,-0.019,0.587,-104.004,-39.917,-127.258
1.287,-0.070,0.545,-100.342,-23.926,-115.906
1.270,-0.162,0.471,-93.872,-3.357,-106.567
1.278,-0.242,0.427,-92.041,15.869,-98.816
1.292,-0.269,0.452,-93.018,30.640,-91.370
1.293,-0.220,0.534,-91.797,35.767,-85.205
1.333,-0.157,0.598,-87.036,27.405,-81.116
1.334,-0.129,0.614,-81.116,14.771,-78.003
1.304,-0.155,0.643,-73.425,7.019,-75.012
1.373,-0.177,0.643,-63.293,4.333,-73.792
1.322,-0.199,0.655,-66.223,-0.671,-79.102
1.411,-0.247,0.458,-64.819,-11.719,-79.224
1.309,-0.319,0.597,-77.393,-24.414,-73.792
1.282,-0.304,0.692,-84.106,-34.485,-57.739
1.261,-0.316,0.641,-58.350,-40.710,-42.725
1.282,-0.260,0.666,-53.406,-52.734,-25.452
1.281,-0.289,0.634,-54.688,-73.364,0.854
1.242,-0.296,0.602,-49.683,-91.736,21.301
1.187,-0.292,0.628,-53.101,-96.619,31.921
1.145,-0.268,0.650,-53.772,-83.801,32.715
1.176,-0.274,0.691,-51.392,-61.462,31.677
1.187,-0.257,0.692,-41.626,-40.588,33.020
1.127,-0.261,0.663,-26.245,-23.315,35.034
1.115,-0.311,0.636,-14.771,-8.850,35.339
1.062,-0.350,0.618,-2.625,6.714,28.809
1.037,-0.341,0.669,9.338,25.146,14.343
1.059,-0.328,0.726,22.644,40.955,-1.587
1.045,-0.329,0.738,38.208,46.692,-11.047
1.014,-0.377,0.712,51.514,44.067,-13.062
1.054,-0.383,0.726,58.899,40.466,-13.672
1.113,-0.310,0.783,54.993,41.016,-18.372
1.189,-0.244,0.827,45.349,45.471,-26.062
1.276,-0.206,0.862,36.072,49.622,-30.884
1.335,-0.201,0.862,27.710,53.223,-33.325
1.331,-0.209,0.855,22.095,54.871,-34.790
1.298,-0.220,0.842,17.761,55.237,-35.889
1.229,-0.221,0.828,15.320,53.711,-37.537
1.106,-0.248,0.820,17.944,49.622,-41.138
0.978,-0.308,0.817,24.841,44.739,-46.570
0.881,-0.418,0.794,39.063,39.551,-51.331
0.797,-0.506,0.760,57.861,32.654,-51.025
0.794,-0.444,0.777,65.430,28.992,-48.523
0.841,-0.248,0.864,55.115,35.156,-49.927
0.871,-0.115,0.925,48.584,48.828,-52.795
0.930,-0.007,0.950,47.302,63.599,-50.537
0.910,0.060,0.937,51.697,75.867,-49.438
0.871,0.059,0.851,63.660,83.862,-51.025
0.821,0.005,0.750,73.669,86.853,-52.368
0.748,-0.021,0.694,79.224,88.013,-56.091
0.646,-0.048,0.623,89.050,89.111,-65.002
0.558,-0.075,0.540,100.830,88.867,-73.792
0.499,-0.112,0.466,108.582,87.769,-77.576
0.448,-0.150,0.422,108.704,87.158,-78.430
0.397,-0.155,0.403,106.995,88.501,-81.726
0.351,-0.133,0.399,105.652,91.614,-85.144
0.305,-0.066,0.407,103.210,95.154,-86.975
0.277,0.014,0.411,101.807,97.961,-87.830
0.244,0.078,0.408,105.957,98.450,-82.458
0.200,0.054,0.302,114.319,96.436,-63.782
0.168,0.009,0.225,116.394,102.295,-40.649
0.176,-0.145,0.330,120.239,111.389,-27.832
0.048,-0.179,0.237,105.469,86.670,-36.316
0.016,-0.206,0.136,102.051,62.683,-55.054
0.024,-0.226,0.068,113.403,55.786,-67.749
-0.020,-0.193,0.063,113.220,54.565,-60.547
-0.070,-0.157,0.093,114.075,50.842,-46.814
-0.119,-0.077,0.088,115.112,44.250,-36.072
-0.148,0.020,0.093,115.601,40.894,-30.457
-0.161,0.083,0.083,118.347,41.077,-28.442
-0.155,0.095,0.008,123.352,41.321,-29.968
-0.148,0.061,-0.072,128.113,44.189,-32.166
-0.169,0.009,-0.164,131.592,49.500,-33.569
-0.194,-0.041,-0.251,133.484,55.664,-33.264
0.373,0.994,-1.254,60.242,-67.810,75.623
0.441,1.140,-1.371,55.603,-75.562,53.894
0.391,1.112,-1.273,52.490,-63.660,78.674
0.433,0.994,-1.123,45.410,-70.251,105.286
0.506,0.977,-1.147,30.334,-106.384,94.788
0.508,1.015,-1.228,17.273,-138.794,67.932
0.487,1.032,-1.225,7.141,-154.175,44.373
0.491,1.013,-1.209,-4.517,-163.391,29.907
0.503,1.014,-1.265,-9.644,-163.330,31.311
0.598,0.963,-1.147,2.991,-145.325,44.373
0.689,0.944,-1.066,-3.967,-154.175,45.227
0.763,0.931,-1.068,-14.709,-171.692,43.945
0.869,0.976,-1.103,-22.461,-183.899,39.673
0.979,1.012,-1.099,-33.997,-192.566,31.799
1.060,1.082,-1.047,-49.133,-203.247,19.348
1.139,1.137,-1.070,-51.880,-207.764,7.446
1.134,1.155,-1.073,-53.833,-208.618,-2.869
1.156,1.078,-1.037,-52.368,-206.299,-7.568
1.164,0.956,-0.929,-53.162,-205.627,-7.324
1.011,0.903,-0.891,-53.040,-199.341,-0.549
1.111,0.850,-0.686,-43.640,-194.153,12.024
1.177,0.887,-0.631,-54.810,-187.744,34.363
1.293,0.925,-0.619,-61.462,-180.542,60.791
1.359,0.960,-0.584,-59.875,-170.654,74.524
1.426,0.994,-0.537,-58.594,-164.795,74.829
1.434,0.992,-0.494,-57.495,-167.908,64.941
1.393,1.021,-0.462,-59.387,-178.589,45.715
1.347,1.036,-0.421,-64.575,-192.993,23.621
1.268,1.007,-0.341,-71.045,-207.153,6.714
1.188,0.935,-0.201,-77.271,-217.285,-6.042
1.161,0.796,-0.033,-78.125,-221.619,-19.409
1.145,0.699,0.081,-71.716,-222.839,-32.898
1.136,0.688,0.140,-64.209,-218.079,-44.128
1.203,0.758,0.142,-62.439,-206.360,-52.063
1.285,0.809,0.109,-56.091,-185.425,-48.950
1.360,0.802,0.066,-44.556,-159.058,-36.499
1.426,0.889,0.009,-41.626,-138.184,-30.396
